practice_id,doctor_id
-1,-1
1,1
2,2
382,382
1894,1894
3,3
4,4
254,254
441,441
449,449
458,458
467,467
511,511
534,534
623,623
5,5
6,6
7,7
394,394
62,62
8,8
146,146
9,9
10,10
11,11
12,12
13,13
736,736
14,14
965,965
242,242
638,638
15,15
485,485
121,121
456,456
484,484
417,417
614,614
243,243
413,413
590,590
455,455
639,639
905,905
85,85
270,270
147,147
2270,2270
6683,6683
1462,1462
861,861
5311,5311
3579,3579
9249,9249
6254,6254
435,435
5975,5975
4212,4212
1712,1712
3695,3695
322,322
792,792
1155,1155
7691,7691
8341,8341
16,16
2432,2432
17,17
18,18
809,809
924,924
601,601
4264,4264
339,339
730,730
902,902
872,872
3339,3339
2456,2456
884,884
1993,1993
968,968
3300,3300
1162,1162
7236,7236
1820,1820
1396,1396
3050,3050
2384,2384
1406,1406
2153,2153
4098,4098
1616,1616
4148,4148
1049,1049
1774,1774
2217,2217
2834,2834
3335,3335
3247,3247
2258,2258
1211,1211
8021,8021
2447,2447
2814,2814
1239,1239
1091,1091
1173,1173
930,930
1362,1362
1912,1912
36,36
3561,3561
2241,2241
719,719
1125,1125
1873,1873
1547,1547
1666,1666
1605,1605
3177,3177
632,632
767,767
845,845
1036,1036
1265,1265
1334,1334
1331,1331
1365,1365
1369,1369
1670,1670
1724,1724
1800,1800
1826,1826
1874,1874
1969,1969
2102,2102
2101,2101
2211,2211
2232,2232
2540,2540
2638,2638
3296,3296
3503,3503
3901,3901
1310,1310
1311,1311
2440,2440
3299,3299
714,714
4751,4751
4748,4748
4729,4729
4730,4730
1863,1863
1215,1215
3211,3211
3499,3499
2442,2442
1620,1620
1315,1315
1833,1833
1868,1868
2259,2259
2250,2250
1663,1663
1627,1627
3168,3168
2775,2775
1643,1643
2281,2281
1032,1032
1304,1304
2900,2900
1286,1286
1293,1293
1764,1764
3790,3790
1812,1812
4188,4188
4149,4149
3500,3500
3498,3498
3497,3497
3468,3468
3399,3399
3319,3319
3268,3268
3230,3230
3227,3227
3079,3079
3021,3021
2915,2915
2901,2901
2859,2859
2654,2654
2286,2286
2275,2275
2245,2245
2235,2235
2207,2207
2154,2154
2100,2100
2054,2054
2007,2007
1941,1941
1847,1847
1835,1835
1825,1825
1700,1700
1679,1679
1653,1653
1611,1611
1546,1546
1515,1515
1496,1496
1347,1347
1325,1325
1221,1221
1190,1190
1176,1176
1114,1114
769,769
711,711
571,571
20,20
21,21
22,22
23,23
24,24
25,25
898,898
410,410
26,26
132,132
27,27
28,28
29,29
30,30
4795,4795
31,31
32,32
33,33
34,34
6784,6784
10312,10312
9642,9642
45,45
673,673
117,117
35,35
716,716
127,127
7251,7251
10703,10703
7067,7067
5123,5123
8821,8821
521,521
178,178
126,126
4897,4897
4021,4021
37,37
38,38
39,39
512,512
40,40
3067,3067
3515,3515
2308,2308
2317,2317
3334,3334
4122,4122
2352,2352
11196,11196
11589,11589
7233,7233
11070,11070
3900,3900
11484,11484
13377,13377
7336,7336
14062,14062
15856,15856
11315,11315
7128,7128
5835,5835
5337,5337
12946,12946
4819,4819
2500,2500
9817,9817
41,41
3014,3014
1488,1488
5336,5336
4805,4805
