"practice_id","doctor_id","practice"
3064,3191,"PETS UNLIMITED"
1306,4188,"ROSS VALLEY VET HOSPITAL"
8254,7500,"ALAPALM ANIMAL HOSPITAL"
2619,2619,"1001 POTRERO AVE 5H"
4854,4411,"ALL CREATURES VET CLINIC EL CERRITO"
3398,3398,"1033 3RD ST"
129,129,"1044 SIR FRANCIS DRAKE BLVD"
12103,7793,"BRIDGE VET SERVICES"
2611,2611,"1070 MACARTHUR BLVD #8"
4526,4526,"1075 14TH ST"
2839,9759,"SAN BRUNO PET HOSPITAL"
1192,1192,"1111 E. MISSION ROAD"
4600,4903,"SHASTA ANIMAL HOSPITAL"
12438,4213,"FERNDALE VET CLINIC"
13036,13036,"1161 AVOCADO RD"
4082,9582,"DEL VALLE PET HOSPITAL"
4114,4114,"1201 66TH ST"
4521,4521,"124 ABC LN"
6587,6587,"1275 4TH ST SUITE 151"
5371,5371,"1288 SW SIMPSON AVE, SUITE G"
980,980,"1300 S. ELISEO DR"
800,800,"130 LA CASA VIA"
4176,6281,"ESPECIALLY CATS HOSPITAL"
6116,6116,"1341 South Eliseo Drive"
378,378,"1350 SO. ELISEO DR."
2637,9460,"SAN FRANCISCO PET HOSPITAL"
4645,4645,"140 WEST CALAVERAS BLVD"
9344,9344,"1410 MONUMENT BLVD STE100"
14728,5853,"VCA TLC PASADENA VETERINARY SPEC"
817,817,"141 CAMINO ALTO #2"
5417,4821,"VCA BAY AREA VERTERINARY SPECIALIST AND EMERGENCY HOSPITAL"
5417,4901,"VCA BAY AREA VERTERINARY SPECIALIST AND EMERGENCY HOSPITAL"
7524,7785,"CAMBRIA VET CLINIC"
1267,13941,"ALMADEN VALLEY ANIMAL HOSPITAL"
5731,5731,"15806 AMAR ROAD"
4172,9616,"VCA COTTAGE ANIMAL HOSPITAL"
2423,2423,"1615 HILL ROAD SUITE 16"
13793,13793,"16206 SPECTRUM"
507,2645,"165 ROWLAND WAY, SUITE 201"
507,507,"165 ROWLAND WAY, SUITE 201"
2048,2048,"165 ROWLAND WAY SUITE 215"
4331,4331,"1706 YOSEMITE BLVD"
3585,2886,"SKYLINE PET HOSPITAL"
3585,11187,"SKYLINE PET HOSPITAL"
13730,13730,"171 BEL MARIN KEYS BLVD"
4990,4990,"1872 INDIAN VALLEY RD"
2480,4220,"EDEN PET HOSPITAL"
2480,5245,"EDEN PET HOSPITAL"
876,876,"1940 WEST GALENA BLVD #10"
13503,13503,"1945 LOCUST ST"
8310,5031,"PACIFIC VET SPECIALIST"
1213,4535,"SANTA ROSA VET HOSPITAL"
3877,5892,"OAK ANIMAL HOSPITAL"
3266,3266,"2021 SANTA MONICA"
4436,4436,"2025 MORSE AVE"
4318,4318,"2027 MANET PL"
5796,5796,"20373 VIA PORTOFINO"
4375,4375,"204 E. 2ND  AVE, SUITE 519"
1146,1146,"2101 COURAGE DR."
7997,4204,"VCA BASCOM ANIMAL HOSPITAL"
6852,6852,"2186 GEARY BLVD"
335,335,"21 TAMAL VISTA BLVD. #110"
4771,4771,"21 TAMAL VISTA BLVD. SUITE 115"
13816,13816,"2200 6TH AVENUE"
13353,8347,"BLUEPEARL SPECIALTY AND EMERGENCY PET HOSPITAL"
4050,9901,"ANIMAL HOSPITAL"
10259,10259,"2210 COUNTY CENTER DRIVE"
13549,13549,"2215 E. MADISON STREET"
1278,10068,"AVENUES PET HOSPITAL"
10011,10011,"2255 BOYNTON AVE."
11554,5957,"BARNEY AND RUSSUM ANIMAL HOSPITAL"
11554,5399,"BARNEY AND RUSSUM ANIMAL HOSPITAL"
11554,4227,"BARNEY AND RUSSUM ANIMAL HOSPITAL"
3963,3963,"2301 CIRCADIAN WAY SUITE A"
6410,6410,"231 E ALISANDRO A382"
4769,4890,"SAN MATEO ANIMAL HOSPITAL"
2784,11399,"SAN MATEO ANIMAL HOSPITAL"
3120,6060,"VCA BAYSHORE ANIMAL HOSPITAL"
3120,1370,"VCA BAYSHORE ANIMAL HOSPITAL"
16415,13145,"VCA WILSHIRE ANIMAL HOSPITAL"
5700,13818,"VCA PET CARE EAST VET HOSPITAL"
7881,7881,"243 B SPRUCE AVE"
4718,5155,"SADDLEBACK VET HOSPITAL"
5140,5140,"245 N.STATE ROAD 135"
