"practice_id","doctor_id"
2619,2619
3398,3398
129,129
2611,2611
4526,4526
1192,1192
13036,13036
4114,4114
4521,4521
6587,6587
5371,5371
980,980
800,800
6116,6116
378,378
4645,4645
9344,9344
817,817
5731,5731
2423,2423
13793,13793
507,507
507,2645
2048,2048
4331,4331
13730,13730
4990,4990
876,876
13503,13503
3266,3266
4436,4436
4318,4318
5796,5796
4375,4375
1146,1146
6852,6852
335,335
4771,4771
13816,13816
10259,10259
13549,13549
10011,10011
3963,3963
6410,6410
7881,7881
5140,5140
30,30
4373,4373
5258,5258
4496,4496
6629,6629
1650,1650
9907,9907
3364,3364
1878,1878
313,313
3065,3065
46,46
4016,4016
9153,9153
436,436
3696,3696
9558,9558
3530,3530
2166,2166
2315,2315
1327,1327
1796,1796
1796,4352
5773,5773
3590,3590
9921,9921
2460,2460
15130,15130
13220,13220
12765,12765
9949,9949
5493,5493
2151,2151
473,473
15396,15396
1507,1507
4940,4940
5851,5851
293,293
11062,11062
14649,14649
10034,10034
11182,11182
13782,13782
5288,12364
5288,5288
1258,1258
8573,8573
224,224
4202,4202
4870,4870
4553,4553
229,229
13744,13744
8749,8749
10668,10668
1410,1410
7101,7101
5303,5303
-1,-1
8388,8388
384,384
5118,5118
13759,13759
3914,3914
7020,7020
3980,3980
6935,7731
6935,6935
6935,7106
6935,10253
9254,9254
9254,12369
9254,8488
14249,14249
16757,16757
5314,5314
5768,12505
5768,14855
5768,15206
3844,3844
5768,10615
5768,10066
5768,5768
5351,5351
5351,9287
4332,14956
4332,11715
4332,15259
4332,4332
4180,4180
7135,7135
3461,3461
8930,8930
2692,12008
2692,2692
2692,6394
15068,15068
15068,16052
4791,8326
4791,7931
4791,8048
4791,4791
4791,8038
4791,11027
6329,6329
7975,7975
8023,8035
8023,9321
8023,12632
8023,8023
8023,8798
8023,9574
8023,8784
7967,13009
7967,15953
7967,13332
7967,11638
7967,8100
7967,8848
7967,16340
7967,7967
7967,11750
7967,11993
7967,17010
7967,8045
4495,4495
2704,14044
2704,2704
14551,14551
14332,14332
12557,12557
12557,12598
5222,5222
5222,11472
15340,16647
15340,15340
15752,15752
14873,14873
12621,12637
12621,14401
16018,16018
12621,13387
12621,15525
12621,12621
14465,14814
14465,8871
14465,15358
14465,14465
14465,15254
14465,14538
14465,8823
14465,15708
5486,9448
5486,6298
5486,11098
5486,16781
5486,5486
5486,12064
5486,15943
9801,9801
4900,16545
4900,14411
4900,5864
4900,8855
4900,13264
3184,3184
4900,13093
4900,7437
4900,5226
4900,4900
4900,15550
4900,8154
7686,14403
7686,15790
7686,13477
7686,11963
7686,17103
7686,13320
7686,7686
14681,14681
1130,1130
2461,2461
6063,6063
14051,14051
1600,13432
1600,13263
1600,16636
1600,16738
1600,12673
1600,12658
1600,12436
1600,12372
1600,11371
1600,11432
1600,2598
1600,11410
1600,8674
1600,8402
1600,8443
1600,15402
5460,12269
5460,6786
5460,12205
1600,6752
4196,6316
5460,9877
1600,7704
1600,15541
1600,15441
1600,15436
1600,16517
1600,14984
1600,14951
1600,14099
1600,13779
4464,9373
1600,11964
1600,13364
1600,1600
1600,2365
5460,14762
1600,15010
5460,5460
1600,8112
1600,15883
14338,14338
1600,10924
1600,3685
1600,3843
1600,5563
9632,9632
1600,10505
1600,8921
1600,5983
1600,8560
1600,3157
5460,3204
5460,1249
1600,13564
4107,4107
4196,4196
1600,8128
1600,7041
1600,2617
1600,2938
1600,2966
5460,8728
1600,10919
1600,10666
1600,3650
1600,3544
1600,3678
1600,10061
1600,10497
1600,10551
1600,12517
1600,10717
1600,10679
1600,10709
5460,15853
1600,11052
4464,4464
4464,6404
12277,12277
11271,11271
11271,16372
4110,11583
4110,11875
4110,12248
4110,13254
4110,14845
4110,16842
4110,4110
4110,10958
4110,15921
4110,11389
4110,10643
4110,12687
4110,13314
4110,10747
4110,11241
4110,10753
4117,4117
1669,2522
1669,6264
1669,1669
1669,3810
1669,5922
4798,4798
1669,3740
1772,1772
1669,6667
1669,6574
9208,9209
9208,17017
9208,9208
8701,8701
1905,1905
1282,1282
13406,13406
14385,14385
12104,12104
6210,15362
6210,6210
6210,16281
6210,12258
6210,12653
6210,13219
6210,13100
6210,15644
6210,9827
9918,9918
15173,15173
15974,15974
6961,6961
8541,8595
8541,8596
8541,8541
8541,12047
8541,9144
10944,10944
10944,15183
10944,16436
10755,12553
10755,10755
15238,15238
4792,4792
4792,5076
12058,12058
2778,13017
2778,9605
2778,2778
2778,13279
2778,16587
8052,8052
10997,10997
16872,16872
16235,16235
9524,9524
13003,13003
5927,13446
5927,10543
5927,5927
5927,10722
1630,1630
1630,9465
1630,7879
11089,11089
11089,11309
11819,12726
11819,11819
11819,16631
12098,12098
16443,16443
6527,14617
6527,6527
16881,16881
9668,9668
2808,16621
2808,7071
2808,3360
2808,3006
2808,3119
2808,3066
2808,2808
6031,6031
2808,6928
2808,8713
16516,16516
4057,5079
4057,4057
4057,11453
2565,2565
4057,4507
2542,2542
8254,8254
8254,7500
8254,11301
4219,12494
4219,13242
4219,4219
7674,7674
15105,15105
16420,16420
10684,15762
10684,10684
10684,14406
10684,16818
7111,14098
7111,7111
7111,14434
16122,16122
13388,13388
14966,14966
13388,13478
13041,13041
15312,15312
16941,16941
7658,7658
8792,14851
8792,16398
8792,8792
9086,11509
9086,10581
9086,8570
9086,9825
9086,7356
9086,7906
9086,9086
9086,7512
9086,10496
13053,13064
13053,13053
3827,3827
3748,11253
3748,3748
5488,5488
5488,6319
5488,5860
5488,3020
5488,5880
5488,6348
5488,6233
6921,13373
14349,14349
6921,12501
6921,11045
10629,10629
6921,6921
6921,7202
5800,5800
12537,12537
12537,15151
5859,5859
5859,6022
7244,7244
5993,7211
5993,7179
5993,6545
5993,5993
6692,6692
10327,10336
10327,10327
16782,16782
4786,4786
12935,13221
12935,12935
7553,7553
14105,14105
4854,8779
4854,12266
4854,13551
4854,4854
4854,7701
4854,8649
4854,4411
15200,15200
15924,15924
9868,12615
9868,9868
9868,14270
4616,4616
3342,3342
4616,16153
8736,8736
13821,13821
4611,4611
4853,9162
7727,7727
4853,4853
4853,8449
4853,2685
9613,9613
7317,7317
10606,10606
13104,13104
2160,13020
2160,7442
2160,6678
2160,9804
2160,11834
2160,4517
2160,10077
2160,6561
2160,16185
2160,14580
2160,10355
2160,2160
2160,3902
2160,4070
2160,3126
5019,5019
1930,13787
1930,1930
1930,11857
12768,12768
1193,14336
1193,1193
1193,16559
1551,1551
1551,6353
1551,1521
1267,7079
1267,6199
1267,12742
1267,14485
1267,14496
1267,16000
1267,16253
1267,2779
1267,4075
1267,10094
1267,5693
1267,13095
1267,13941
1267,14069
1267,2482
1267,1267
1267,4470
1267,10020
1267,9071
1267,8826
1267,14452
1267,8743
1267,13815
1267,8145
1267,7203
14884,14884
16156,16156
13716,13716
7224,7224
14037,14037
16132,16132
9319,9319
8803,8803
15546,15546
12347,12347
5297,5297
5297,5952
5297,6068
5297,6161
5297,6658
5297,6777
5297,11313
5297,11345
5297,11383
5297,12514
5297,12589
5297,13224
5297,15108
5297,16085
5297,7204
5297,9016
5297,9696
5297,5302
5297,10338
5297,10416
5297,10494
5297,10333
5297,8022
14123,14123
7369,7369
14559,14559
14785,14785
4195,4195
4663,4663
7369,7624
15352,15352
15352,16579
3320,6738
3320,10129
3320,3320
3320,7976
3320,9499
3320,6114
5244,5244
16055,16055
13860,13860
3024,3024
3024,7569
3024,6081
3249,3249
10556,11440
10556,10556
10153,10153
12680,12680
5033,5033
5033,9662
3867,3867
6141,6141
6141,7026
7466,7466
7466,8420
7530,7530
10063,10063
4586,4586
606,7537
606,8776
606,6017
606,3564
606,606
606,2836
606,8568
606,15802
606,7915
606,16922
606,9559
606,8099
606,13301
606,9971
606,9704
14568,14568
3555,8697
3555,3555
3555,7791
8440,8440
10246,10246
5854,5854
5854,13720
14625,14625
15960,15960
14806,14806
7823,7823
2978,2978
4986,4986
3852,9890
3852,5094
3852,3852
15816,15816
13810,13810
3237,3237
6053,6053
16226,16226
12717,16297
12717,12717
12717,13030
15648,15648
12596,12596
8758,8758
4637,11850
4637,6377
4637,6711
4637,12024
4637,4637
4637,13946
4637,9690
4637,10763
4811,4811
6770,6770
17086,17086
7631,7631
7631,11755
8251,8251
15372,15372
9226,9226
7539,7539
11629,11572
11629,8571
11629,10761
11629,11102
11629,11629
11629,11587
10180,10180
8846,8846
16279,16279
14858,14858
7200,7200
7200,13240
5902,10670
5902,5902
6741,6741
9619,9619
9619,11787
9619,11570
9619,9689
11799,12239
11799,15440
11799,11799
11799,11802
16528,16528
14095,14095
5032,14666
11602,11602
15299,15299
5032,5032
15058,15058
14095,14331
15299,16356
14990,15382
14990,14990
3702,3702
3098,6459
3098,4498
3098,3098
3098,16911
3098,8232
3098,3236
4664,4664
4664,4902
10621,13403
10621,13556
10621,10708
10621,16077
10621,10621
10621,12766
16958,16958
14309,14309
6912,9832
6912,15600
6912,7565
6912,6912
13743,13743
4322,6145
4322,7918
4322,7681
4322,12271
4322,12707
4322,4322
4322,9577
4322,4833
4322,4479
4322,6321
4322,9548
4322,7329
4322,4618
16828,16828
15323,15323
16496,16496
8525,8525
9280,9280
5141,14731
5141,14393
5141,5141
16479,16479
1332,12905
1332,16996
1332,1332
16193,16193
14482,14482
15622,15990
15622,15622
7057,15192
7057,9276
7057,7057
5837,5837
9123,10132
9123,9504
7261,7261
9123,10478
7261,11824
9123,9123
7261,9205
13758,13758
4494,4494
13797,13797
10952,10952
11033,11033
13123,13123
16010,16010
16010,16690
3482,6278
3482,6464
9646,9646
3482,8047
3482,3482
5220,5220
3482,13307
3482,12762
3482,16006
6888,6888
15643,15643
10437,10934
10437,10437
8905,8905
7109,7109
7109,12317
7109,11816
7109,7298
218,218
5772,5772
7109,14949
7109,11504
3225,10151
3225,15584
3225,13861
3225,10309
3225,3225
3225,16449
3225,6241
3567,3567
5745,5745
15081,15081
14144,14144
9185,9185
16228,16228
5282,5282
16106,16106
4050,9901
4050,4050
12801,12801
8109,8109
6933,12964
6933,8167
6933,6940
6933,6933
6933,13755
6933,13465
13873,13873
6933,9975
7820,9781
7820,9640
7820,7820
2543,2543
2942,15415
2543,16515
2543,15203
2543,3239
2543,12804
2543,11997
2543,9121
2543,6754
2942,2942
2942,8431
2543,4335
6979,7016
6979,7222
6979,9177
6979,9669
6979,11704
6988,6988
6979,6979
16799,16799
4454,8108
4454,4454
12041,12041
4921,4921
4433,4433
14381,14381
15257,16476
15257,15257
15257,15394
7518,13487
7518,10384
7518,7736
7518,11374
7518,7518
11674,11674
7518,15154
16815,16815
9172,9172
9172,8744
15568,15568
3879,3879
16326,16326
2527,3721
2527,2527
2527,13429
5157,5157
2527,8638
2527,3853
2527,2669
2527,6215
6967,13265
6967,11366
6967,6967
6967,7974
6967,16532
6967,16381
6967,16355
15761,15761
9220,9220
8810,11778
8810,8810
8810,12120
4657,13541
4657,4657
11675,11675
16761,16761
4051,4051
4051,14491
4051,12694
4051,5923
3193,3193
3288,3557
3288,3288
5542,8176
5542,8760
5542,14616
5542,10369
5542,14938
5542,13154
5542,15202
5542,13491
5542,14079
5542,9270
5974,5974
5110,5110
5542,5542
5542,6207
5542,6944
7703,9565
7703,7703
5542,6969
5542,7257
5542,7777
5542,11782
5542,12797
5542,9550
5542,8166
5542,17090
5542,8178
5542,14583
5542,12165
5542,6086
5542,8120
5542,12071
5542,11825
5542,11667
7666,7666
5392,5392
5392,15778
5392,6659
7973,7973
4158,4158
7381,16401
7381,10070
7381,16422
7381,5797
7381,11285
7381,11752
7381,4067
7381,14049
7381,15604
7381,9719
15926,15926
7381,7381
7381,3091
7381,3390
6700,6700
1087,1087
15408,15408
7286,7286
7286,7332
7286,7397
7286,9475
7286,11482
7286,7546
14590,14824
1395,7634
8756,9087
8756,8756
3865,3865
14590,14590
14590,16723
1395,16640
1395,4177
1395,2577
1395,1806
1395,1781
1395,1395
1395,2371
14590,14941
7431,8165
7431,7431
13450,13450
15117,15117
6137,6137
15758,15758
6505,9798
6505,6505
14454,14539
14454,14454
15929,15929
15822,15822
7514,17091
13482,13482
7514,7514
14313,14313
9194,15070
9194,12374
9194,9194
9194,12321
15004,15004
6472,6472
11104,11104
15425,15425
15633,15633
5420,5420
12692,12692
9141,9141
16031,16031
2649,2649
2649,7924
5629,5629
9523,14438
9523,9523
16804,16804
12366,12366
1997,12941
1997,1997
7267,7267
14390,14390
16746,16746
8765,10987
8765,8765
8765,12138
7319,7319
7068,7436
7068,12082
7068,13027
7068,9447
7068,7068
7134,7134
9701,9701
9701,16849
9701,15685
15702,15702
4837,4837
16508,16508
8248,8248
1227,13938
1227,14351
1227,7662
1227,15938
1227,6972
1227,3878
1227,13413
1227,10974
1227,11852
1227,12391
1227,12581
1227,13727
1227,3655
6631,6631
3027,3027
1227,10154
1227,1227
1227,5374
1227,7062
1227,4946
1227,2995
1227,11625
1227,6736
1227,12784
15716,15716
13173,13173
16847,16847
2132,15765
2132,2132
2132,11379
2132,16293
9783,9783
3769,3769
3769,11631
3779,13865
3779,13805
3779,7231
3779,9621
3779,5966
3779,7787
3779,14266
3779,3779
3779,14324
3779,7390
3811,3811
8770,8770
1335,1335
1335,7596
1335,9718
1335,4111
7097,7097
14889,14889
15291,15291
4447,4447
10676,10676
7776,7776
7776,9452
4315,4315
4315,6502
4315,6594
4315,12253
4315,8129
4315,15305
6180,6180
8442,8442
3285,4183
3285,12649
3285,3285
3285,3309
15015,15015
11563,11563
8814,14669
8814,15296
8814,15721
8814,8814
8814,14776
8814,15522
12885,12885
12989,12989
12712,12712
7155,7155
7155,13569
10595,10595
15158,15158
8381,13926
8381,8381
9111,9111
8418,8418
6293,6293
3424,4345
3424,4228
3424,3424
3686,3686
1789,10170
1789,7733
1789,3294
1789,7457
1789,2210
1789,10669
1789,13474
1789,1220
1789,1789
1789,2213
1789,6901
1789,8611
1789,5741
1789,6892
1789,4347
16168,16168
16168,16366
14514,14514
7572,7572
11969,12886
6272,6350
6272,6272
11969,11969
6272,11933
16232,16332
16232,16232
4276,10377
4624,16414
4276,10490
4276,4276
4624,4624
4276,8670
4624,16892
14805,14805
7287,7287
7287,8172
7287,8026
16189,16189
15662,15662
1144,1797
1144,1144
4087,4087
4087,13115
4087,14604
4087,16315
6822,12793
6822,6822
6822,11543
6822,11915
16388,16388
6206,8524
6206,16116
6206,6206
1439,15226
1439,15893
1439,14363
1439,1439
1439,8096
1439,15432
1439,12996
1439,11555
1439,10575
1439,6669
13215,13215
4753,4753
14761,14761
325,325
9219,10262
9219,9219
7558,14876
7558,7558
16812,16812
11424,13035
11424,11424
15639,15639
16644,14517
16644,16644
12330,12330
12330,12331
15072,15072
5035,5035
6896,6896
9236,9236
1278,2974
1278,10068
1278,1707
1278,2507
1278,2616
1278,13435
9665,9665
5137,9796
1278,2294
1278,1278
5137,5137
5137,9673
1278,10173
1278,15688
6255,6255
1278,11642
1278,9982
1278,9983
1278,12123
9665,13870
1278,12909
1278,13376
1278,8628
1278,8379
1278,6745
1278,2998
2183,2183
9665,12650
6755,6755
7098,11952
7098,7098
14918,14918
7098,8049
6262,6262
8730,8730
6192,6192
7555,7555
4078,4078
7459,7459
16907,16907
13007,13007
6370,6370
6214,6214
8522,8522
8522,8651
8522,13211
15611,15611
15448,15448
13404,12389
13404,13404
13404,16586
9126,12477
9126,9126
8018,8018
8018,13028
10395,10395
10395,12904
9126,11242
2564,10912
2564,5448
2564,4191
2564,13109
2564,13072
2564,12549
2564,13198
2564,14584
2564,14989
2564,10342
2564,10225
2564,16855
2564,8452
2564,8384
2564,6990
2564,2564
16707,16707
6826,6826
11040,11040
16503,16503
15384,15384
8369,10727
8369,15846
8369,11898
8369,11573
8369,9566
8369,13590
8369,10261
8369,7770
8369,8369
8369,11076
8369,9837
8369,11513
8369,15091
8369,15184
10109,10109
10109,11314
1093,1093
13511,13511
11564,11564
4695,5500
4695,4695
4695,9904
4446,4446
4446,5807
7349,7349
9905,9905
6453,6453
7798,7798
9896,9896
16937,16937
6437,6437
15651,15651
14297,14297
15137,15137
9931,9931
13094,13094
8692,9514
5845,5489
6524,10331
6524,13000
6524,7986
6524,7933
6524,10390
6524,7445
6524,12595
6524,12538
6524,12958
6524,5965
5536,13442
8692,11218
8692,11352
8692,12299
6524,10269
13584,13767
6524,7989
6524,10219
14992,8656
11879,11213
11879,10527
4372,10479
5890,5890
6524,6524
6524,8086
8692,8692
7904,7904
11879,11879
11879,14416
15256,15256
5845,5845
5845,5889
5845,6906
13584,13584
16432,16432
15274,15274
9555,9555
4372,4372
10221,10221
10471,10471
14106,14106
13966,13966
14992,14992
5536,5536
8692,13258
8692,11960
8692,11395
8692,10072
6524,6997
5536,16215
5536,16879
5536,12025
5536,10367
5536,10091
9555,10042
8692,9467
8692,8913
14992,16495
14992,15927
14992,15021
11879,12910
16367,16367
15892,15892
14495,14495
11758,11758
11758,12065
10175,10175
13397,13397
13397,14807
13397,15056
13299,13299
14661,12966
14661,14661
11906,12513
11906,13479
11906,12469
11906,16428
11906,11906
11906,12684
11906,12363
11906,15967
9462,9542
9462,10514
9462,11724
9462,7201
9462,12021
9462,9709
9462,14128
9462,9462
9462,10008
9462,12326
9462,10291
9462,14759
9462,15843
9462,10134
9462,14905
9462,10419
9462,11216
9462,12887
9462,15142
9462,14430
14063,16200
14063,14063
14063,16540
14063,15387
14063,16931
10454,13430
10454,13339
10454,10454
8640,10366
8640,9923
8640,16595
